Data;OPERAÇÃO COMERCIAL;Qtde (Metro cúbico);Valor US$ FOB
2017-04-01;EXPORTAÇÃO;3521437.713;1000108139
2017-08-01;EXPORTAÇÃO;5093140.381;1346375840
2017-12-01;EXPORTAÇÃO;3371316.697;1174849249
2017-02-01;EXPORTAÇÃO;6928600.475;2072786736
2017-01-01;EXPORTAÇÃO;6194334.859;1764351878
2017-07-01;EXPORTAÇÃO;5989820.497;1559444323
2017-06-01;EXPORTAÇÃO;6893917.306;1974958222
2017-05-01;EXPORTAÇÃO;3928539.789;1084204184
2017-03-01;EXPORTAÇÃO;4454891.618;1311569791
2017-11-01;EXPORTAÇÃO;2812291.326;877012428
2017-10-01;EXPORTAÇÃO;4228830.353;1234825486
2017-09-01;EXPORTAÇÃO;4414123.593;1224510539
2017-04-01;IMPORTAÇÃO;599975.1321;217237751
2017-08-01;IMPORTAÇÃO;644490.2947;195107993
2017-12-01;IMPORTAÇÃO;652333.4105;271399262
2017-02-01;IMPORTAÇÃO;979391.9097;309412221
2017-01-01;IMPORTAÇÃO;397565.3473;118307174
2017-07-01;IMPORTAÇÃO;1079257.881;358275935
2017-06-01;IMPORTAÇÃO;927099.0978;312469853
2017-05-01;IMPORTAÇÃO;848567.2182;284433855
2017-03-01;IMPORTAÇÃO;217102.4763;86620514
2017-11-01;IMPORTAÇÃO;863962.649;314147839
2017-10-01;IMPORTAÇÃO;917299.9591;328329584
2017-09-01;IMPORTAÇÃO;533816.4271;171212195
2018-04-01;EXPORTAÇÃO;5088890.706;1866533334
2018-08-01;EXPORTAÇÃO;4704572.435;1992925456
2018-12-01;EXPORTAÇÃO;5258798.523;1719666531
2018-02-01;EXPORTAÇÃO;4046335.288;1526352825
2018-01-01;EXPORTAÇÃO;6117841.852;2097812220
2018-07-01;EXPORTAÇÃO;9012651.246;3465354755
2018-06-01;EXPORTAÇÃO;3181470.752;1225136635
2018-05-01;EXPORTAÇÃO;4210360.308;1659626149
2018-03-01;EXPORTAÇÃO;4612640.497;1697297641
2018-11-01;EXPORTAÇÃO;5087989.475;2112114191
2018-10-01;EXPORTAÇÃO;7530963.965;3113372773
2018-09-01;EXPORTAÇÃO;6333800.637;2620580793
2018-04-01;IMPORTAÇÃO;347136.3495;151366313
2018-08-01;IMPORTAÇÃO;1533654.094;727748775
2018-12-01;IMPORTAÇÃO;968834.8946;481875015
